# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-10-05 13:48:31 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05289800 MINNEHAHA CREEK AT HIAWATHA AVE. IN MINNEAPOLIS,MN
# -----------------------------------------------------------------------------------
#
# Data provided for site 05289800
#            TS   parameter     Description
#         74489       00065     Gage height, feet
#         74490       00060     Discharge, cubic feet per second
#         74491       00045     Precipitation, total, inches
#         74494       00010     Temperature, water, degrees Celsius
#         74495       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	74489_00065	74489_00065_cd	74490_00060	74490_00060_cd	74491_00045	74491_00045_cd	74494_00010	74494_00010_cd	74495_00095	74495_00095_cd
USGS	05289800	2019-09-28 04:45	CDT	14.57	P	248	P	0.00	P	17.7	P	425	P
USGS	05289800	2019-09-28 04:50	CDT	14.57	P	248	P	0.00	P	17.7	P	427	P
USGS	05289800	2019-09-28 04:55	CDT	14.57	P	248	P	0.00	P	17.7	P	425	P
USGS	05289800	2019-09-28 05:00	CDT	14.57	P	248	P	0.00	P	17.7	P	426	P
USGS	05289800	2019-09-28 05:05	CDT	14.57	P	248	P	0.00	P	17.7	P	426	P
USGS	05289800	2019-09-28 05:10	CDT	14.57	P	248	P	0.00	P	17.7	P	426	P
USGS	05289800	2019-09-28 05:15	CDT	14.58	P	250	P	0.00	P	17.7	P	426	P
USGS	05289800	2019-09-28 05:20	CDT	14.55	P	245	P	0.00	P	17.7	P	427	P
USGS	05289800	2019-09-28 05:25	CDT	14.57	P	248	P	0.00	P	17.7	P	426	P
USGS	05289800	2019-09-28 05:30	CDT	14.57	P	248	P	0.00	P	17.7	P	427	P
USGS	05289800	2019-09-28 05:35	CDT	14.56	P	247	P	0.00	P	17.7	P	426	P
USGS	05289800	2019-09-28 05:40	CDT	14.57	P	248	P	0.00	P	17.6	P	431	P
USGS	05289800	2019-09-28 05:45	CDT	14.57	P	248	P	0.00	P	17.6	P	427	P
USGS	05289800	2019-09-28 05:50	CDT	14.56	P	247	P	0.00	P	17.6	P	427	P
USGS	05289800	2019-09-28 05:55	CDT	14.56	P	247	P	0.00	P	17.6	P	426	P
USGS	05289800	2019-09-28 06:00	CDT	14.57	P	248	P	0.00	P	17.6	P	426	P
USGS	05289800	2019-09-28 06:05	CDT	14.56	P	247	P	0.00	P	17.6	P	426	P
USGS	05289800	2019-09-28 06:10	CDT	14.57	P	248	P	0.00	P	17.6	P	427	P
USGS	05289800	2019-09-28 06:15	CDT	14.56	P	247	P	0.00	P	17.6	P	426	P
USGS	05289800	2019-09-28 06:20	CDT	14.56	P	247	P	0.00	P	17.6	P	426	P
USGS	05289800	2019-09-28 06:25	CDT	14.57	P	248	P	0.00	P	17.6	P	427	P
USGS	05289800	2019-09-28 06:30	CDT	14.56	P	247	P	0.00	P	17.6	P	426	P
USGS	05289800	2019-09-28 06:35	CDT	14.57	P	248	P	0.00	P	17.6	P	435	P
USGS	05289800	2019-09-28 06:40	CDT	14.55	P	245	P	0.00	P	17.6	P	425	P
USGS	05289800	2019-09-28 06:45	CDT	14.57	P	248	P	0.00	P	17.6	P	425	P
USGS	05289800	2019-09-28 06:50	CDT	14.56	P	247	P	0.00	P	17.6	P	426	P
USGS	05289800	2019-09-28 06:55	CDT	14.56	P	247	P	0.00	P	17.6	P	423	P
USGS	05289800	2019-09-28 07:00	CDT	14.56	P	247	P	0.00	P	17.6	P	426	P
USGS	05289800	2019-09-28 07:05	CDT	14.56	P	247	P	0.00	P	17.5	P	426	P
USGS	05289800	2019-09-28 07:10	CDT	14.56	P	247	P	0.00	P	17.5	P	428	P
USGS	05289800	2019-09-28 07:15	CDT	14.56	P	247	P	0.00	P	17.5	P	426	P
USGS	05289800	2019-09-28 07:20	CDT	14.56	P	247	P	0.00	P	17.5	P	426	P
USGS	05289800	2019-09-28 07:25	CDT	14.55	P	245	P	0.00	P	17.5	P	425	P
USGS	05289800	2019-09-28 07:30	CDT	14.57	P	248	P	0.00	P	17.5	P	425	P
USGS	05289800	2019-09-28 07:35	CDT	14.57	P	248	P	0.00	P	17.5	P	425	P
USGS	05289800	2019-09-28 07:40	CDT	14.56	P	247	P	0.00	P	17.5	P	426	P
USGS	05289800	2019-09-28 07:45	CDT	14.56	P	247	P	0.00	P	17.5	P	424	P
USGS	05289800	2019-09-28 07:50	CDT	14.56	P	247	P	0.00	P	17.5	P	425	P
USGS	05289800	2019-09-28 07:55	CDT	14.55	P	245	P	0.00	P	17.5	P	426	P
USGS	05289800	2019-09-28 08:00	CDT	14.56	P	247	P	0.00	P	17.5	P	425	P
USGS	05289800	2019-09-28 08:05	CDT	14.54	P	244	P	0.00	P	17.5	P	425	P
USGS	05289800	2019-09-28 08:10	CDT	14.55	P	245	P	0.00	P	17.5	P	425	P
USGS	05289800	2019-09-28 08:15	CDT	14.56	P	247	P	0.00	P	17.5	P	425	P
USGS	05289800	2019-09-28 08:20	CDT	14.56	P	247	P	0.00	P	17.4	P	425	P
USGS	05289800	2019-09-28 08:25	CDT	14.56	P	247	P	0.00	P	17.4	P	424	P
USGS	05289800	2019-09-28 08:30	CDT	14.56	P	247	P	0.00	P	17.4	P	422	P
USGS	05289800	2019-09-28 08:35	CDT	14.57	P	248	P	0.00	P	17.4	P	424	P
USGS	05289800	2019-09-28 08:40	CDT	14.55	P	245	P	0.00	P	17.4	P	425	P
USGS	05289800	2019-09-28 08:45	CDT	14.56	P	247	P	0.00	P	17.4	P	424	P
USGS	05289800	2019-09-28 08:50	CDT	14.56	P	247	P	0.00	P	17.4	P	424	P
USGS	05289800	2019-09-28 08:55	CDT	14.56	P	247	P	0.00	P	17.4	P	423	P
USGS	05289800	2019-09-28 09:00	CDT	14.54	P	244	P	0.00	P	17.4	P	424	P
USGS	05289800	2019-09-28 09:05	CDT	14.55	P	245	P	0.00	P	17.4	P	423	P
USGS	05289800	2019-09-28 09:10	CDT	14.54	P	244	P	0.00	P	17.4	P	424	P
USGS	05289800	2019-09-28 09:15	CDT	14.55	P	245	P	0.00	P	17.4	P	425	P
USGS	05289800	2019-09-28 09:20	CDT	14.55	P	245	P	0.00	P	17.4	P	424	P
USGS	05289800	2019-09-28 09:25	CDT	14.55	P	245	P	0.00	P	17.4	P	424	P
USGS	05289800	2019-09-28 09:30	CDT	14.54	P	244	P	0.00	P	17.4	P	425	P
USGS	05289800	2019-09-28 09:35	CDT	14.55	P	245	P	0.00	P	17.4	P	425	P
USGS	05289800	2019-09-28 09:40	CDT	14.55	P	245	P	0.00	P	17.5	P	424	P
USGS	05289800	2019-09-28 09:45	CDT	14.55	P	245	P	0.00	P	17.5	P	424	P
USGS	05289800	2019-09-28 09:50	CDT	14.54	P	244	P	0.00	P	17.5	P	425	P
USGS	05289800	2019-09-28 09:55	CDT	14.55	P	245	P	0.00	P	17.5	P	424	P
USGS	05289800	2019-09-28 10:00	CDT	14.55	P	245	P	0.00	P	17.5	P	424	P
USGS	05289800	2019-09-28 10:05	CDT	14.55	P	245	P	0.00	P	17.5	P	425	P
USGS	05289800	2019-09-28 10:10	CDT	14.56	P	247	P	0.00	P	17.5	P	425	P
USGS	05289800	2019-09-28 10:15	CDT	14.55	P	245	P	0.00	P	17.5	P	425	P
USGS	05289800	2019-09-28 10:20	CDT	14.55	P	245	P	0.00	P	17.5	P	423	P
USGS	05289800	2019-09-28 10:25	CDT	14.54	P	244	P	0.00	P	17.6	P	422	P
USGS	05289800	2019-09-28 10:30	CDT	14.55	P	245	P	0.00	P	17.6	P	423	P
USGS	05289800	2019-09-28 10:35	CDT	14.55	P	245	P	0.00	P	17.6	P	424	P
USGS	05289800	2019-09-28 10:40	CDT	14.55	P	245	P	0.00	P	17.6	P	424	P
USGS	05289800	2019-09-28 10:45	CDT	14.54	P	244	P	0.00	P	17.6	P	423	P
USGS	05289800	2019-09-28 10:50	CDT	14.54	P	244	P	0.00	P	17.6	P	424	P
USGS	05289800	2019-09-28 10:55	CDT	14.55	P	245	P	0.00	P	17.6	P	424	P
USGS	05289800	2019-09-28 11:00	CDT	14.54	P	244	P	0.00	P	17.6	P	423	P
USGS	05289800	2019-09-28 11:05	CDT	14.56	P	247	P	0.00	P	17.7	P	424	P
USGS	05289800	2019-09-28 11:10	CDT	14.54	P	244	P	0.00	P	17.7	P	424	P
USGS	05289800	2019-09-28 11:15	CDT	14.54	P	244	P	0.00	P	17.7	P	423	P
USGS	05289800	2019-09-28 11:20	CDT	14.55	P	245	P	0.00	P	17.7	P	424	P
USGS	05289800	2019-09-28 11:25	CDT	14.55	P	245	P	0.00	P	17.7	P	424	P
USGS	05289800	2019-09-28 11:30	CDT	14.55	P	245	P	0.00	P	17.7	P	424	P
USGS	05289800	2019-09-28 11:35	CDT	14.55	P	245	P	0.00	P	17.7	P	424	P
USGS	05289800	2019-09-28 11:40	CDT	14.54	P	244	P	0.00	P	17.7	P	424	P
USGS	05289800	2019-09-28 11:45	CDT	14.54	P	244	P	0.00	P	17.7	P	423	P
USGS	05289800	2019-09-28 11:50	CDT	14.55	P	245	P	0.00	P	17.8	P	424	P
USGS	05289800	2019-09-28 11:55	CDT	14.55	P	245	P	0.00	P	17.8	P	426	P
USGS	05289800	2019-09-28 12:00	CDT	14.54	P	244	P	0.00	P	17.8	P	423	P
USGS	05289800	2019-09-28 12:05	CDT	14.54	P	244	P	0.00	P	17.8	P	423	P
USGS	05289800	2019-09-28 12:10	CDT	14.54	P	244	P	0.00	P	17.8	P	423	P
USGS	05289800	2019-09-28 12:15	CDT	14.55	P	245	P	0.00	P	17.8	P	425	P
USGS	05289800	2019-09-28 12:20	CDT	14.54	P	244	P	0.00	P	17.8	P	422	P
USGS	05289800	2019-09-28 12:25	CDT	14.54	P	244	P	0.00	P	17.8	P	422	P
USGS	05289800	2019-09-28 12:30	CDT	14.55	P	245	P	0.00	P	17.8	P	423	P
USGS	05289800	2019-09-28 12:35	CDT	14.54	P	244	P	0.00	P	17.8	P	423	P
USGS	05289800	2019-09-28 12:40	CDT	14.55	P	245	P	0.00	P	17.8	P	422	P
USGS	05289800	2019-09-28 12:45	CDT	14.54	P	244	P	0.00	P	17.8	P	421	P
USGS	05289800	2019-09-28 12:50	CDT	14.54	P	244	P	0.00	P	17.8	P	418	P
USGS	05289800	2019-09-28 12:55	CDT	14.54	P	244	P	0.00	P	17.8	P	420	P
USGS	05289800	2019-09-28 13:00	CDT	14.55	P	245	P	0.00	P	17.9	P	420	P
USGS	05289800	2019-09-28 13:05	CDT	14.55	P	245	P	0.00	P	17.9	P	421	P
USGS	05289800	2019-09-28 13:10	CDT	14.54	P	244	P	0.00	P	17.9	P	421	P
USGS	05289800	2019-09-28 13:15	CDT	14.55	P	245	P	0.00	P	17.9	P	423	P
USGS	05289800	2019-09-28 13:20	CDT	14.55	P	245	P	0.00	P	17.9	P	425	P
USGS	05289800	2019-09-28 13:25	CDT	14.55	P	245	P	0.00	P	17.9	P	424	P
USGS	05289800	2019-09-28 13:30	CDT	14.55	P	245	P	0.00	P	17.9	P	427	P
USGS	05289800	2019-09-28 13:35	CDT	14.54	P	244	P	0.00	P	17.9	P	422	P
USGS	05289800	2019-09-28 13:40	CDT	14.54	P	244	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 13:45	CDT	14.54	P	244	P	0.00	P	18.0	P	423	P
USGS	05289800	2019-09-28 13:50	CDT	14.55	P	245	P	0.00	P	18.0	P	423	P
USGS	05289800	2019-09-28 13:55	CDT	14.54	P	244	P	0.00	P	18.0	P	423	P
USGS	05289800	2019-09-28 14:00	CDT	14.54	P	244	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 14:05	CDT	14.55	P	245	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 14:10	CDT	14.54	P	244	P	0.00	P	18.0	P	423	P
USGS	05289800	2019-09-28 14:15	CDT	14.54	P	244	P	0.00	P	18.0	P	423	P
USGS	05289800	2019-09-28 14:20	CDT	14.54	P	244	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 14:25	CDT	14.54	P	244	P	0.00	P	18.0	P	421	P
USGS	05289800	2019-09-28 14:30	CDT	14.53	P	242	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 14:35	CDT	14.53	P	242	P	0.00	P	18.0	P	420	P
USGS	05289800	2019-09-28 14:40	CDT	14.54	P	244	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 14:45	CDT	14.54	P	244	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 14:50	CDT	14.53	P	242	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 14:55	CDT	14.52	P	241	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 15:00	CDT	14.52	P	241	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 15:05	CDT	14.52	P	241	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 15:10	CDT	14.53	P	242	P	0.00	P	18.0	P	423	P
USGS	05289800	2019-09-28 15:15	CDT	14.53	P	242	P	0.00	P	18.0	P	423	P
USGS	05289800	2019-09-28 15:20	CDT	14.52	P	241	P	0.00	P	18.0	P	423	P
USGS	05289800	2019-09-28 15:25	CDT	14.52	P	241	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 15:30	CDT	14.53	P	242	P	0.00	P	18.0	P	424	P
USGS	05289800	2019-09-28 15:35	CDT	14.51	P	239	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 15:40	CDT	14.52	P	241	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 15:45	CDT	14.52	P	241	P	0.00	P	18.1	P	422	P
USGS	05289800	2019-09-28 15:50	CDT	14.52	P	241	P	0.00	P	18.1	P	423	P
USGS	05289800	2019-09-28 15:55	CDT	14.52	P	241	P	0.00	P	18.1	P	422	P
USGS	05289800	2019-09-28 16:00	CDT	14.52	P	241	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 16:05	CDT	14.52	P	241	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 16:10	CDT	14.52	P	241	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 16:15	CDT	14.52	P	241	P	0.00	P	18.0	P	423	P
USGS	05289800	2019-09-28 16:20	CDT	14.51	P	239	P	0.00	P	18.0	P	423	P
USGS	05289800	2019-09-28 16:25	CDT	14.51	P	239	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 16:30	CDT	14.52	P	241	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 16:35	CDT	14.52	P	241	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 16:40	CDT	14.51	P	239	P	0.00	P	18.0	P	423	P
USGS	05289800	2019-09-28 16:45	CDT	14.52	P	241	P	0.00	P	18.0	P	421	P
USGS	05289800	2019-09-28 16:50	CDT	14.51	P	239	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 16:55	CDT	14.52	P	241	P	0.00	P	18.0	P	422	P
USGS	05289800	2019-09-28 17:00	CDT	14.52	P	241	P	0.00	P	17.9	P	422	P
USGS	05289800	2019-09-28 17:05	CDT	14.51	P	239	P	0.00	P	17.9	P	420	P
USGS	05289800	2019-09-28 17:10	CDT	14.50	P	238	P	0.00	P	17.9	P	421	P
USGS	05289800	2019-09-28 17:15	CDT	14.50	P	238	P	0.00	P	17.9	P	422	P
USGS	05289800	2019-09-28 17:20	CDT	14.50	P	238	P	0.00	P	17.9	P	422	P
USGS	05289800	2019-09-28 17:25	CDT	14.51	P	239	P	0.00	P	17.9	P	422	P
USGS	05289800	2019-09-28 17:30	CDT	14.50	P	238	P	0.00	P	17.9	P	421	P
USGS	05289800	2019-09-28 17:35	CDT	14.50	P	238	P	0.00	P	17.9	P	420	P
USGS	05289800	2019-09-28 17:40	CDT	14.50	P	238	P	0.00	P	17.9	P	422	P
USGS	05289800	2019-09-28 17:45	CDT	14.50	P	238	P	0.00	P	17.9	P	422	P
USGS	05289800	2019-09-28 17:50	CDT	14.49	P	237	P	0.00	P	17.9	P	422	P
USGS	05289800	2019-09-28 17:55	CDT	14.50	P	238	P	0.00	P	17.8	P	419	P
USGS	05289800	2019-09-28 18:00	CDT	14.50	P	238	P	0.00	P	17.8	P	421	P
USGS	05289800	2019-09-28 18:05	CDT	14.49	P	237	P	0.00	P	17.8	P	421	P
USGS	05289800	2019-09-28 18:10	CDT	14.50	P	238	P	0.00	P	17.8	P	422	P
USGS	05289800	2019-09-28 18:15	CDT	14.50	P	238	P	0.00	P	17.8	P	422	P
USGS	05289800	2019-09-28 18:20	CDT	14.50	P	238	P	0.00	P	17.8	P	421	P
USGS	05289800	2019-09-28 18:25	CDT	14.50	P	238	P	0.00	P	17.8	P	423	P
USGS	05289800	2019-09-28 18:30	CDT	14.50	P	238	P	0.00	P	17.8	P	420	P
USGS	05289800	2019-09-28 18:35	CDT	14.50	P	238	P	0.00	P	17.8	P	422	P
USGS	05289800	2019-09-28 18:40	CDT	14.50	P	238	P	0.00	P	17.8	P	419	P
USGS	05289800	2019-09-28 18:45	CDT	14.50	P	238	P	0.00	P	17.7	P	416	P
USGS	05289800	2019-09-28 18:50	CDT	14.50	P	238	P	0.00	P	17.7	P	418	P
USGS	05289800	2019-09-28 18:55	CDT	14.49	P	237	P	0.00	P	17.7	P	420	P
USGS	05289800	2019-09-28 19:00	CDT	14.50	P	238	P	0.00	P	17.7	P	420	P
USGS	05289800	2019-09-28 19:05	CDT	14.50	P	238	P	0.00	P	17.7	P	419	P
USGS	05289800	2019-09-28 19:10	CDT	14.50	P	238	P	0.00	P	17.7	P	420	P
USGS	05289800	2019-09-28 19:15	CDT	14.49	P	237	P	0.00	P	17.7	P	420	P
USGS	05289800	2019-09-28 19:20	CDT	14.50	P	238	P	0.00	P	17.7	P	419	P
USGS	05289800	2019-09-28 19:25	CDT	14.49	P	237	P	0.00	P	17.7	P	422	P
USGS	05289800	2019-09-28 19:30	CDT	14.49	P	237	P	0.00	P	17.7	P	420	P
USGS	05289800	2019-09-28 19:35	CDT	14.50	P	238	P	0.00	P	17.6	P	422	P
USGS	05289800	2019-09-28 19:40	CDT	14.48	P	235	P	0.00	P	17.6	P	421	P
USGS	05289800	2019-09-28 19:45	CDT	14.49	P	237	P	0.00	P	17.6	P	418	P
USGS	05289800	2019-09-28 19:50	CDT	14.49	P	237	P	0.00	P	17.6	P	422	P
USGS	05289800	2019-09-28 19:55	CDT	14.49	P	237	P	0.00	P	17.6	P	421	P
USGS	05289800	2019-09-28 20:00	CDT	14.50	P	238	P	0.00	P	17.6	P	421	P
USGS	05289800	2019-09-28 20:05	CDT	14.48	P	235	P	0.00	P	17.6	P	420	P
USGS	05289800	2019-09-28 20:10	CDT	14.48	P	235	P	0.00	P	17.6	P	420	P
USGS	05289800	2019-09-28 20:15	CDT	14.50	P	238	P	0.00	P	17.6	P	421	P
USGS	05289800	2019-09-28 20:20	CDT	14.49	P	237	P	0.00	P	17.6	P	421	P
USGS	05289800	2019-09-28 20:25	CDT	14.48	P	235	P	0.00	P	17.6	P	423	P
USGS	05289800	2019-09-28 20:30	CDT	14.48	P	235	P	0.00	P	17.6	P	421	P
USGS	05289800	2019-09-28 20:35	CDT	14.48	P	235	P	0.00	P	17.6	P	422	P
USGS	05289800	2019-09-28 20:40	CDT	14.48	P	235	P	0.00	P	17.6	P	422	P
USGS	05289800	2019-09-28 20:45	CDT	14.49	P	237	P	0.00	P	17.5	P	421	P
USGS	05289800	2019-09-28 20:50	CDT	14.47	P	234	P	0.00	P	17.5	P	422	P
USGS	05289800	2019-09-28 20:55	CDT	14.48	P	235	P	0.00	P	17.5	P	423	P
USGS	05289800	2019-09-28 21:00	CDT	14.48	P	235	P	0.00	P	17.5	P	422	P
USGS	05289800	2019-09-28 21:05	CDT	14.48	P	235	P	0.00	P	17.5	P	422	P
USGS	05289800	2019-09-28 21:10	CDT	14.48	P	235	P	0.00	P	17.5	P	423	P
USGS	05289800	2019-09-28 21:15	CDT	14.47	P	234	P	0.00	P	17.5	P	423	P
USGS	05289800	2019-09-28 21:20	CDT	14.48	P	235	P	0.00	P	17.5	P	422	P
